[2018-10-01 11:26:48] 
arich[2].feb[3].t2 : float(31.5625)
arich[2].feb[4].t1 : float(32)
arich[2].feb[4].t2 : float(31.9375)
arich[2].feb[5].t1 : float(32.375)
arich[2].feb[5].t2 : float(32.375)
arich[3].temp : float(31.375)
arich[3].feb[0].t1 : float(30)
arich[3].feb[0].t2 : float(30.375)
arich[3].feb[1].t1 : float(31.8125)
arich[3].feb[1].t2 : float(31.9375)
arich[3].feb[2].t1 : float(31.9375)
arich[3].feb[2].t2 : float(31.75)
arich[3].feb[3].t1 : float(30.9375)
arich[3].feb[3].t2 : float(31.1875)
arich[3].feb[4].t1 : float(32.25)
arich[3].feb[4].t2 : float(32.0625)
arich[3].feb[5].t1 : float(32.125)
arich[3].feb[5].t2 : float(32.1875)
[2018-10-01 13:11:50] 
arich[0].temp : float(31.8125)
arich[0].feb[0].t1 : float(31.5625)
arich[0].feb[0].t2 : float(31.75)
arich[0].feb[1].t1 : float(32.25)
arich[0].feb[1].t2 : float(31.9375)
arich[0].feb[2].t1 : float(31.375)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(32.375)
arich[0].feb[3].t2 : float(32.3125)
arich[0].feb[4].t1 : float(32.4375)
arich[0].feb[4].t2 : float(32.625)
arich[0].feb[5].t1 : float(31.4375)
arich[0].feb[5].t2 : float(31.1875)
arich[1].temp : float(31.3125)
arich[1].feb[0].t1 : float(31.4375)
arich[1].feb[0].t2 : float(31.625)
arich[1].feb[1].t1 : float(30.9375)
arich[1].feb[1].t2 : float(30.9375)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.625)
arich[1].feb[3].t1 : float(30.75)
arich[1].feb[3].t2 : float(30.625)
arich[1].feb[4].t1 : float(31.8125)
arich[1].feb[4].t2 : float(31.625)
arich[1].feb[5].t1 : float(32.375)
arich[1].feb[5].t2 : float(32.4375)
arich[2].temp : float(33.3125)
arich[2].feb[0].t1 : float(31.9375)
arich[2].feb[0].t2 : float(32.125)
arich[2].feb[1].t1 : float(32)
arich[2].feb[1].t2 : float(31.9375)
arich[2].feb[2].t1 : float(31.4375)
arich[2].feb[2].t2 : float(31.4375)
arich[2].feb[3].t1 : float(31.5625)
arich[2].feb[3].t2 : float(31.625)
arich[2].feb[4].t1 : float(32.0625)
arich[2].feb[4].t2 : float(31.9375)
arich[2].feb[5].t1 : float(32.4375)
arich[2].feb[5].t2 : float(32.4375)
arich[3].temp : float(31.375)
arich[3].feb[0].t1 : float(30)
arich[3].feb[0].t2 : float(30.4375)
arich[3].feb[1].t1 : float(31.875)
arich[3].feb[1].t2 : float(32)
arich[3].feb[2].t1 : float(32)
arich[3].feb[2].t2 : float(31.8125)
arich[3].feb[3].t1 : float(30.9375)
arich[3].feb[3].t2 : float(31.1875)
arich[3].feb[4].t1 : float(32.3125)
arich[3].feb[4].t2 : float(32.125)
arich[3].feb[5].t1 : float(32.1875)
arich[3].feb[5].t2 : float(32.1875)
[2018-10-01 13:12:51] 
arich[0].temp : float(31.9375)
arich[0].feb[0].t1 : float(31.5625)
arich[0].feb[0].t2 : float(31.75)
arich[0].feb[1].t1 : float(32.25)
arich[0].feb[1].t2 : float(31.9375)
arich[0].feb[2].t1 : float(31.375)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(32.375)
arich[0].feb[3].t2 : float(32.3125)
arich[0].feb[4].t1 : float(32.4375)
arich[0].feb[4].t2 : float(32.625)
arich[0].feb[5].t1 : float(31.4375)
arich[0].feb[5].t2 : float(31.1875)
arich[1].temp : float(31.4375)
arich[1].feb[0].t1 : float(31.5)
arich[1].feb[0].t2 : float(31.625)
arich[1].feb[1].t1 : float(30.9375)
arich[1].feb[1].t2 : float(30.9375)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.625)
arich[1].feb[3].t1 : float(30.8125)
arich[1].feb[3].t2 : float(30.6875)
arich[1].feb[4].t1 : float(31.875)
arich[1].feb[4].t2 : float(31.625)
arich[1].feb[5].t1 : float(32.375)
arich[1].feb[5].t2 : float(32.4375)
arich[2].temp : float(33.375)
arich[2].feb[0].t1 : float(31.9375)
arich[2].feb[0].t2 : float(32.125)
arich[2].feb[1].t1 : float(32)
arich[2].feb[1].t2 : float(31.9375)
arich[2].feb[2].t1 : float(31.4375)
arich[2].feb[2].t2 : float(31.4375)
arich[2].feb[3].t1 : float(31.5625)
arich[2].feb[3].t2 : float(31.6875)
arich[2].feb[4].t1 : float(32.0625)
arich[2].feb[4].t2 : float(32)
arich[2].feb[5].t1 : float(32.4375)
arich[2].feb[5].t2 : float(32.4375)
arich[3].temp : float(31.4375)
arich[3].feb[0].t1 : float(30.0625)
arich[3].feb[0].t2 : float(30.4375)
arich[3].feb[1].t1 : float(31.875)
arich[3].feb[1].t2 : float(32)
arich[3].feb[2].t1 : float(32)
arich[3].feb[2].t2 : float(31.8125)
arich[3].feb[3].t1 : float(31)
arich[3].feb[3].t2 : float(31.1875)
arich[3].feb[4].t1 : float(32.3125)
arich[3].feb[4].t2 : float(32.125)
arich[3].feb[5].t1 : float(32.1875)
arich[3].feb[5].t2 : float(32.25)
[2018-10-01 13:27:14] 
arich[0].temp : float(31.875)
arich[0].feb[0].t1 : float(31.625)
arich[0].feb[0].t2 : float(31.875)
arich[0].feb[1].t1 : float(32.3125)
arich[0].feb[1].t2 : float(32.0625)
arich[0].feb[2].t1 : float(31.4375)
arich[0].feb[2].t2 : float(31.1875)
arich[0].feb[3].t1 : float(32.5)
arich[0].feb[3].t2 : float(32.375)
arich[0].feb[4].t1 : float(32.5625)
arich[0].feb[4].t2 : float(32.75)
arich[0].feb[5].t1 : float(31.5625)
arich[0].feb[5].t2 : float(31.25)
arich[1].temp : float(31.375)
arich[1].feb[0].t1 : float(31.5625)
arich[1].feb[0].t2 : float(31.6875)
arich[1].feb[1].t1 : float(31)
arich[1].feb[1].t2 : float(31)
arich[1].feb[2].t1 : float(31.875)
arich[1].feb[2].t2 : float(31.75)
arich[1].feb[3].t1 : float(30.875)
arich[1].feb[3].t2 : float(30.75)
arich[1].feb[4].t1 : float(31.9375)
arich[1].feb[4].t2 : float(31.6875)
arich[1].feb[5].t1 : float(32.4375)
arich[1].feb[5].t2 : float(32.5)
arich[2].temp : float(33.3125)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32.25)
arich[2].feb[1].t1 : float(32.125)
arich[2].feb[1].t2 : float(32.0625)
arich[2].feb[2].t1 : float(31.5625)
arich[2].feb[2].t2 : float(31.5625)
arich[2].feb[3].t1 : float(31.75)
arich[2].feb[3].t2 : float(31.8125)
arich[2].feb[4].t1 : float(32.1875)
arich[2].feb[4].t2 : float(32.0625)
arich[2].feb[5].t1 : float(32.5625)
arich[2].feb[5].t2 : float(32.5625)
arich[3].temp : float(31.375)
arich[3].feb[0].t1 : float(30.125)
arich[3].feb[0].t2 : float(30.5)
arich[3].feb[1].t1 : float(32)
arich[3].feb[1].t2 : float(32.0625)
arich[3].feb[2].t1 : float(32.125)
arich[3].feb[2].t2 : float(31.9375)
arich[3].feb[3].t1 : float(31.0625)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32.4375)
arich[3].feb[4].t2 : float(32.25)
arich[3].feb[5].t1 : float(32.3125)
arich[3].feb[5].t2 : float(32.3125)
[2018-10-01 13:28:22] 
arich[0].temp : float(31.9375)
arich[0].feb[0].t1 : float(31.625)
arich[0].feb[0].t2 : float(31.8125)
arich[0].feb[1].t1 : float(32.3125)
arich[0].feb[1].t2 : float(32.0625)
arich[0].feb[2].t1 : float(31.4375)
arich[0].feb[2].t2 : float(31.25)
arich[0].feb[3].t1 : float(32.5)
arich[0].feb[3].t2 : float(32.4375)
arich[0].feb[4].t1 : float(32.5625)
arich[0].feb[4].t2 : float(32.75)
arich[0].feb[5].t1 : float(31.5625)
arich[0].feb[5].t2 : float(31.25)
arich[1].temp : float(31.5)
arich[1].feb[0].t1 : float(31.5625)
arich[1].feb[0].t2 : float(31.75)
arich[1].feb[1].t1 : float(31)
arich[1].feb[1].t2 : float(31)
arich[1].feb[2].t1 : float(31.875)
arich[1].feb[2].t2 : float(31.75)
arich[1].feb[3].t1 : float(30.875)
arich[1].feb[3].t2 : float(30.75)
arich[1].feb[4].t1 : float(31.9375)
arich[1].feb[4].t2 : float(31.6875)
arich[1].feb[5].t1 : float(32.5)
arich[1].feb[5].t2 : float(32.5)
arich[2].temp : float(33.375)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32.25)
arich[2].feb[1].t1 : float(32.125)
arich[2].feb[1].t2 : float(32.0625)
arich[2].feb[2].t1 : float(31.5625)
arich[2].feb[2].t2 : float(31.625)
arich[2].feb[3].t1 : float(31.75)
arich[2].feb[3].t2 : float(31.8125)
arich[2].feb[4].t1 : float(32.1875)
arich[2].feb[4].t2 : float(32.125)
arich[2].feb[5].t1 : float(32.5625)
arich[2].feb[5].t2 : float(32.5625)
arich[3].temp : float(31.5)
arich[3].feb[0].t1 : float(30.125)
arich[3].feb[0].t2 : float(30.5625)
arich[3].feb[1].t1 : float(32)
arich[3].feb[1].t2 : float(32.0625)
arich[3].feb[2].t1 : float(32.125)
arich[3].feb[2].t2 : float(31.9375)
arich[3].feb[3].t1 : float(31.0625)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32.4375)
arich[3].feb[4].t2 : float(32.25)
arich[3].feb[5].t1 : float(32.3125)
arich[3].feb[5].t2 : float(32.3125)
[2018-10-01 13:39:04] 
arich[0].temp : float(32.0625)
arich[0].feb[0].t1 : float(31.6875)
arich[0].feb[0].t2 : float(31.875)
arich[0].feb[1].t1 : float(32.375)
arich[0].feb[1].t2 : float(32.125)
arich[0].feb[2].t1 : float(31.5)
arich[0].feb[2].t2 : float(31.25)
arich[0].feb[3].t1 : float(32.5625)
arich[0].feb[3].t2 : float(32.4375)
arich[0].feb[4].t1 : float(32.625)
arich[0].feb[4].t2 : float(32.8125)
arich[0].feb[5].t1 : float(31.625)
arich[0].feb[5].t2 : float(31.375)
arich[1].temp : float(31.5625)
arich[1].feb[0].t1 : float(31.6875)
arich[1].feb[0].t2 : float(31.8125)
arich[1].feb[1].t1 : float(31.0625)
arich[1].feb[1].t2 : float(31.0625)
arich[1].feb[2].t1 : float(32)
arich[1].feb[2].t2 : float(31.8125)
arich[1].feb[3].t1 : float(30.9375)
arich[1].feb[3].t2 : float(30.8125)
arich[1].feb[4].t1 : float(32)
arich[1].feb[4].t2 : float(31.75)
arich[1].feb[5].t1 : float(32.5)
arich[1].feb[5].t2 : float(32.5625)
arich[2].temp : float(33.5)
arich[2].feb[0].t1 : float(32.0625)
arich[2].feb[0].t2 : float(32.3125)
arich[2].feb[1].t1 : float(32.1875)
arich[2].feb[1].t2 : float(32.125)
arich[2].feb[2].t1 : float(31.625)
arich[2].feb[2].t2 : float(31.6875)
arich[2].feb[3].t1 : float(31.8125)
arich[2].feb[3].t2 : float(31.875)
arich[2].feb[4].t1 : float(32.25)
arich[2].feb[4].t2 : float(32.1875)
arich[2].feb[5].t1 : float(32.625)
arich[2].feb[5].t2 : float(32.6875)
arich[3].temp : float(31.625)
arich[3].feb[0].t1 : float(30.1875)
arich[3].feb[0].t2 : float(30.5625)
arich[3].feb[1].t1 : float(32.0625)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(32.1875)
arich[3].feb[2].t2 : float(32)
arich[3].feb[3].t1 : float(31.1875)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.5)
arich[3].feb[4].t2 : float(32.3125)
arich[3].feb[5].t1 : float(32.375)
arich[3].feb[5].t2 : float(32.375)
[2018-10-01 13:48:13] 
arich[0].temp : float(31.9375)
arich[0].feb[0].t1 : float(31.6875)
arich[0].feb[0].t2 : float(31.9375)
arich[0].feb[1].t1 : float(32.4375)
arich[0].feb[1].t2 : float(32.125)
arich[0].feb[2].t1 : float(31.5625)
arich[0].feb[2].t2 : float(31.3125)
arich[0].feb[3].t1 : float(32.625)
arich[0].feb[3].t2 : float(32.5)
arich[0].feb[4].t1 : float(32.625)
arich[0].feb[4].t2 : float(32.8125)
arich[0].feb[5].t1 : float(31.625)
arich[0].feb[5].t2 : float(31.375)
arich[1].temp : float(31.4375)
arich[1].feb[0].t1 : float(31.6875)
arich[1].feb[0].t2 : float(31.8125)
arich[1].feb[1].t1 : float(31.125)
arich[1].feb[1].t2 : float(31.125)
arich[1].feb[2].t1 : float(32)
arich[1].feb[2].t2 : float(31.8125)
arich[1].feb[3].t1 : float(30.9375)
arich[1].feb[3].t2 : float(30.875)
arich[1].feb[4].t1 : float(32.0625)
arich[1].feb[4].t2 : float(31.8125)
arich[1].feb[5].t1 : float(32.5625)
arich[1].feb[5].t2 : float(32.625)
arich[2].temp : float(33.4375)
arich[2].feb[0].t1 : float(32.125)
arich[2].feb[0].t2 : float(32.375)
arich[2].feb[1].t1 : float(32.25)
arich[2].feb[1].t2 : float(32.1875)
arich[2].feb[2].t1 : float(31.6875)
arich[2].feb[2].t2 : float(31.75)
arich[2].feb[3].t1 : float(31.875)
arich[2].feb[3].t2 : float(31.9375)
arich[2].feb[4].t1 : float(32.3125)
arich[2].feb[4].t2 : float(32.1875)
arich[2].feb[5].t1 : float(32.6875)
arich[2].feb[5].t2 : float(32.6875)
arich[3].temp : float(31.5)
arich[3].feb[0].t1 : float(30.1875)
arich[3].feb[0].t2 : float(30.625)
arich[3].feb[1].t1 : float(32.125)
arich[3].feb[1].t2 : float(32.1875)
arich[3].feb[2].t1 : float(32.1875)
arich[3].feb[2].t2 : float(32)
arich[3].feb[3].t1 : float(31.1875)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.5)
arich[3].feb[4].t2 : float(32.3125)
arich[3].feb[5].t1 : float(32.375)
arich[3].feb[5].t2 : float(32.4375)
[2018-10-01 14:24:25] 
arich[0].temp : float(32.0625)
arich[0].feb[0].t1 : float(31.8125)
arich[0].feb[0].t2 : float(32)
arich[0].feb[1].t1 : float(32.5)
arich[0].feb[1].t2 : float(32.25)
arich[0].feb[2].t1 : float(31.625)
arich[0].feb[2].t2 : float(31.4375)
arich[0].feb[3].t1 : float(32.75)
arich[0].feb[3].t2 : float(32.625)
arich[0].feb[4].t1 : float(32.75)
arich[0].feb[4].t2 : float(32.9375)
arich[0].feb[5].t1 : float(31.75)
arich[0].feb[5].t2 : float(31.5)
arich[1].temp : float(31.625)
arich[1].feb[0].t1 : float(31.8125)
arich[1].feb[0].t2 : float(31.9375)
arich[1].feb[1].t1 : float(31.1875)
arich[1].feb[1].t2 : float(31.1875)
arich[1].feb[2].t1 : float(32.125)
arich[1].feb[2].t2 : float(31.9375)
arich[1].feb[3].t1 : float(31.0625)
arich[1].feb[3].t2 : float(31)
arich[1].feb[4].t1 : float(32.1875)
arich[1].feb[4].t2 : float(31.9375)
arich[1].feb[5].t1 : float(32.6875)
arich[1].feb[5].t2 : float(32.75)
arich[2].temp : float(33.5625)
arich[2].feb[0].t1 : float(32.25)
arich[2].feb[0].t2 : float(32.5)
arich[2].feb[1].t1 : float(32.375)
arich[2].feb[1].t2 : float(32.3125)
arich[2].feb[2].t1 : float(31.875)
arich[2].feb[2].t2 : float(31.875)
arich[2].feb[3].t1 : float(32.0625)
arich[2].feb[3].t2 : float(32.125)
arich[2].feb[4].t1 : float(32.4375)
arich[2].feb[4].t2 : float(32.375)
arich[2].feb[5].t1 : float(32.875)
arich[2].feb[5].t2 : float(32.875)
arich[3].temp : float(31.625)
arich[3].feb[0].t1 : float(30.3125)
arich[3].feb[0].t2 : float(30.6875)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.3125)
arich[3].feb[2].t1 : float(32.3125)
arich[3].feb[2].t2 : float(32.125)
arich[3].feb[3].t1 : float(31.3125)
arich[3].feb[3].t2 : float(31.5)
arich[3].feb[4].t1 : float(32.625)
arich[3].feb[4].t2 : float(32.4375)
arich[3].feb[5].t1 : float(32.5)
arich[3].feb[5].t2 : float(32.5625)
[2018-10-01 14:25:43] 
arich[0].temp : float(32.1875)
arich[0].feb[0].t1 : float(31.8125)
arich[0].feb[0].t2 : float(32)
arich[0].feb[1].t1 : float(32.5625)
arich[0].feb[1].t2 : float(32.25)
arich[0].feb[2].t1 : float(31.6875)
arich[0].feb[2].t2 : float(31.4375)
arich[0].feb[3].t1 : float(32.75)
arich[0].feb[3].t2 : float(32.625)
arich[0].feb[4].t1 : float(32.75)
arich[0].feb[4].t2 : float(32.9375)
arich[0].feb[5].t1 : float(31.8125)
arich[0].feb[5].t2 : float(31.5)
arich[1].temp : float(31.6875)
arich[1].feb[0].t1 : float(31.8125)
arich[1].feb[0].t2 : float(31.9375)
arich[1].feb[1].t1 : float(31.25)
arich[1].feb[1].t2 : float(31.25)
arich[1].feb[2].t1 : float(32.125)
arich[1].feb[2].t2 : float(32)
arich[1].feb[3].t1 : float(31.125)
arich[1].feb[3].t2 : float(31)
arich[1].feb[4].t1 : float(32.1875)
arich[1].feb[4].t2 : float(31.9375)
arich[1].feb[5].t1 : float(32.6875)
arich[1].feb[5].t2 : float(32.75)
arich[2].temp : float(33.625)
arich[2].feb[0].t1 : float(32.25)
arich[2].feb[0].t2 : float(32.5)
arich[2].feb[1].t1 : float(32.375)
arich[2].feb[1].t2 : float(32.3125)
arich[2].feb[2].t1 : float(31.875)
arich[2].feb[2].t2 : float(31.9375)
arich[2].feb[3].t1 : float(32.0625)
arich[2].feb[3].t2 : float(32.125)
arich[2].feb[4].t1 : float(32.4375)
arich[2].feb[4].t2 : float(32.375)
arich[2].feb[5].t1 : float(32.875)
arich[2].feb[5].t2 : float(32.875)
arich[3].temp : float(31.6875)
arich[3].feb[0].t1 : float(30.375)
arich[3].feb[0].t2 : float(30.75)
arich[3].feb[1].t1 : float(32.25)
arich[3].feb[1].t2 : float(32.3125)
arich[3].feb[2].t1 : float(32.3125)
arich[3].feb[2].t2 : float(32.1875)
arich[3].feb[3].t1 : float(31.3125)
arich[3].feb[3].t2 : float(31.5625)
arich[3].feb[4].t1 : float(32.6875)
arich[3].feb[4].t2 : float(32.5)
arich[3].feb[5].t1 : float(32.5)
arich[3].feb[5].t2 : float(32.5625)
[2018-10-01 14:40:09] 
arich[0].temp : float(32.125)
arich[0].feb[0].t1 : float(31.75)
arich[0].feb[0].t2 : float(32)
arich[0].feb[1].t1 : float(32.5)
arich[0].feb[1].t2 : float(32.25)
arich[0].feb[2].t1 : float(31.6875)
arich[0].feb[2].t2 : float(31.4375)
arich[0].feb[3].t1 : float(32.75)
arich[0].feb[3].t2 : float(32.625)
arich[0].feb[4].t1 : float(32.75)
arich[0].feb[4].t2 : float(32.9375)
arich[0].feb[5].t1 : float(31.75)
arich[0].feb[5].t2 : float(31.5)
arich[1].temp : float(31.625)
arich[1].feb[0].t1 : float(31.8125)
arich[1].feb[0].t2 : float(31.9375)
arich[1].feb[1].t1 : float(31.1875)
arich[1].feb[1].t2 : float(31.1875)
arich[1].feb[2].t1 : float(32.125)
arich[1].feb[2].t2 : float(31.9375)
arich[1].feb[3].t1 : float(31.125)
arich[1].feb[3].t2 : float(31)
arich[1].feb[4].t1 : float(32.1875)
arich[1].feb[4].t2 : float(31.9375)
arich[1].feb[5].t1 : float(32.6875)
arich[1].feb[5].t2 : float(32.75)
arich[2].temp : float(33.5625)
arich[2].feb[0].t1 : float(32.25)
arich[2].feb[0].t2 : float(32.5)
arich[2].feb[1].t1 : float(32.375)
arich[2].feb[1].t2 : float(32.3125)
arich[2].feb[2].t1 : float(31.9375)
arich[2].feb[2].t2 : float(31.9375)
arich[2].feb[3].t1 : float(32.0625)
arich[2].feb[3].t2 : float(32.1875)
arich[2].feb[4].t1 : float(32.4375)
arich[2].feb[4].t2 : float(32.375)
arich[2].feb[5].t1 : float(32.875)
arich[2].feb[5].t2 : float(32.875)
arich[3].temp : float(31.6875)
arich[3].feb[0].t1 : float(30.3125)
arich[3].feb[0].t2 : float(30.75)
arich[3].feb[1].t1 : float(32.25)
arich[3].feb[1].t2 : float(32.3125)
arich[3].feb[2].t1 : float(32.3125)
arich[3].feb[2].t2 : float(32.125)
arich[3].feb[3].t1 : float(31.3125)
arich[3].feb[3].t2 : float(31.5)
arich[3].feb[4].t1 : float(32.6875)
arich[3].feb[4].t2 : float(32.5)
arich[3].feb[5].t1 : float(32.5)
arich[3].feb[5].t2 : float(32.5625)
[2018-10-01 14:41:47] 
arich[0].temp : float(32.0625)
arich[0].feb[0].t1 : float(31.75)
arich[0].feb[0].t2 : float(32)
arich[0].feb[1].t1 : float(32.5625)
arich[0].feb[1].t2 : float(32.25)
arich[0].feb[2].t1 : float(31.6875)
arich[0].feb[2].t2 : float(31.4375)
arich[0].feb[3].t1 : float(32.75)
arich[0].feb[3].t2 : float(32.625)
arich[0].feb[4].t1 : float(32.75)
arich[0].feb[4].t2 : float(32.9375)
arich[0].feb[5].t1 : float(31.8125)
arich[0].feb[5].t2 : float(31.5)
arich[1].temp : float(31.5625)
arich[1].feb[0].t1 : float(31.8125)
arich[1].feb[0].t2 : float(31.9375)
arich[1].feb[1].t1 : float(31.25)
arich[1].feb[1].t2 : float(31.25)
arich[1].feb[2].t1 : float(32.125)
arich[1].feb[2].t2 : float(32)
arich[1].feb[3].t1 : float(31.125)
arich[1].feb[3].t2 : float(31)
arich[1].feb[4].t1 : float(32.1875)
arich[1].feb[4].t2 : float(31.9375)
arich[1].feb[5].t1 : float(32.6875)
arich[1].feb[5].t2 : float(32.75)
arich[2].temp : float(33.5625)
arich[2].feb[0].t1 : float(32.25)
arich[2].feb[0].t2 : float(32.5)
arich[2].feb[1].t1 : float(32.375)
arich[2].feb[1].t2 : float(32.3125)
arich[2].feb[2].t1 : float(31.9375)
arich[2].feb[2].t2 : float(31.9375)
arich[2].feb[3].t1 : float(32.0625)
arich[2].feb[3].t2 : float(32.1875)
arich[2].feb[4].t1 : float(32.5)
arich[2].feb[4].t2 : float(32.375)
arich[2].feb[5].t1 : float(32.875)
arich[2].feb[5].t2 : float(32.875)
arich[3].temp : float(31.5625)
arich[3].feb[0].t1 : float(30.375)
arich[3].feb[0].t2 : float(30.75)
arich[3].feb[1].t1 : float(32.25)
arich[3].feb[1].t2 : float(32.3125)
arich[3].feb[2].t1 : float(32.375)
arich[3].feb[2].t2 : float(32.1875)
arich[3].feb[3].t1 : float(31.3125)
arich[3].feb[3].t2 : float(31.5625)
arich[3].feb[4].t1 : float(32.6875)
arich[3].feb[4].t2 : float(32.5)
arich[3].feb[5].t1 : float(32.5)
arich[3].feb[5].t2 : float(32.5625)
[2018-10-01 14:59:55] 
arich[0].temp : float(32.0625)
arich[0].feb[0].t1 : float(31.75)
arich[0].feb[0].t2 : float(31.9375)
arich[0].feb[1].t1 : float(32.5)
arich[0].feb[1].t2 : float(32.25)
arich[0].feb[2].t1 : float(31.6875)
arich[0].feb[2].t2 : float(31.4375)
arich[0].feb[3].t1 : float(32.75)
arich[0].feb[3].t2 : float(32.625)
arich[0].feb[4].t1 : float(32.75)
arich[0].feb[4].t2 : float(32.9375)
arich[0].feb[5].t1 : float(31.75)
arich[0].feb[5].t2 : float(31.5)
arich[1].temp : float(31.625)
arich[1].feb[0].t1 : float(31.8125)
arich[1].feb[0].t2 : float(31.9375)
arich[1].feb[1].t1 : float(31.125)
arich[1].feb[1].t2 : float(31.1875)
arich[1].feb[2].t1 : float(32.125)
arich[1].feb[2].t2 : float(31.9375)
arich[1].feb[3].t1 : float(31.125)
arich[1].feb[3].t2 : float(31)
arich[1].feb[4].t1 : float(32.1875)
arich[1].feb[4].t2 : float(31.9375)
arich[1].feb[5].t1 : float(32.625)
arich[1].feb[5].t2 : float(32.6875)
arich[2].temp : float(33.5625)
arich[2].feb[0].t1 : float(32.1875)
arich[2].feb[0].t2 : float(32.4375)
arich[2].feb[1].t1 : float(32.375)
arich[2].feb[1].t2 : float(32.3125)
arich[2].feb[2].t1 : float(31.9375)
arich[2].feb[2].t2 : float(31.9375)
arich[2].feb[3].t1 : float(32.0625)
arich[2].feb[3].t2 : float(32.125)
arich[2].feb[4].t1 : float(32.4375)
arich[2].feb[4].t2 : float(32.375)
arich[2].feb[5].t1 : float(32.875)
arich[2].feb[5].t2 : float(32.875)
arich[3].temp : float(31.625)
arich[3].feb[0].t1 : float(30.3125)
arich[3].feb[0].t2 : float(30.75)
arich[3].feb[1].t1 : float(32.25)
arich[3].feb[1].t2 : float(32.3125)
arich[3].feb[2].t1 : float(32.375)
arich[3].feb[2].t2 : float(32.1875)
arich[3].feb[3].t1 : float(31.3125)
arich[3].feb[3].t2 : float(31.5625)
arich[3].feb[4].t1 : float(32.6875)
arich[3].feb[4].t2 : float(32.5)
arich[3].feb[5].t1 : float(32.5)
arich[3].feb[5].t2 : float(32.5625)
[2018-10-01 15:00:40] 
arich[0].temp : float(32.125)
arich[0].feb[0].t1 : float(31.75)
arich[0].feb[0].t2 : float(31.9375)
arich[0].feb[1].t1 : float(32.5625)
arich[0].feb[1].t2 : float(32.25)
arich[0].feb[2].t1 : float(31.6875)
arich[0].feb[2].t2 : float(31.4375)
arich[0].feb[3].t1 : float(32.75)
arich[0].feb[3].t2 : float(32.625)
arich[0].feb[4].t1 : float(32.75)
arich[0].feb[4].t2 : float(32.9375)
arich[0].feb[5].t1 : float(31.8125)
arich[0].feb[5].t2 : float(31.5)
arich[1].temp : float(31.6875)
arich[1].feb[0].t1 : float(31.875)
arich[1].feb[0].t2 : float(32)
arich[1].feb[1].t1 : float(31.125)
arich[1].feb[1].t2 : float(31.1875)
arich[1].feb[2].t1 : float(32.125)
arich[1].feb[2].t2 : float(32)
arich[1].feb[3].t1 : float(31.125)
arich[1].feb[3].t2 : float(31)
arich[1].feb[4].t1 : float(32.1875)
arich[1].feb[4].t2 : float(31.9375)
arich[1].feb[5].t1 : float(32.625)
arich[1].feb[5].t2 : float(32.6875)
arich[2].temp : float(33.5625)
arich[2].feb[0].t1 : float(32.1875)
arich[2].feb[0].t2 : float(32.4375)
arich[2].feb[1].t1 : float(32.375)
arich[2].feb[1].t2 : float(32.3125)
arich[2].feb[2].t1 : float(31.9375)
arich[2].feb[2].t2 : float(31.9375)
arich[2].feb[3].t1 : float(32.0625)
arich[2].feb[3].t2 : float(32.125)
arich[2].feb[4].t1 : float(32.4375)
arich[2].feb[4].t2 : float(32.375)
arich[2].feb[5].t1 : float(32.875)
arich[2].feb[5].t2 : float(32.875)
arich[3].temp : float(31.6875)
arich[3].feb[0].t1 : float(30.3125)
arich[3].feb[0].t2 : float(30.75)
arich[3].feb[1].t1 : float(32.25)
arich[3].feb[1].t2 : float(32.3125)
arich[3].feb[2].t1 : float(32.375)
arich[3].feb[2].t2 : float(32.1875)
arich[3].feb[3].t1 : float(31.3125)
arich[3].feb[3].t2 : float(31.5625)
arich[3].feb[4].t1 : float(32.6875)
arich[3].feb[4].t2 : float(32.5)
arich[3].feb[5].t1 : float(32.5)
arich[3].feb[5].t2 : float(32.5625)
[2018-10-01 15:02:31] 
arich[0].temp : float(31.9375)
arich[0].feb[0].t1 : float(31.6875)
arich[0].feb[0].t2 : float(31.9375)
arich[0].feb[1].t1 : float(32.5625)
arich[0].feb[1].t2 : float(32.25)
arich[0].feb[2].t1 : float(31.6875)
arich[0].feb[2].t2 : float(31.4375)
arich[0].feb[3].t1 : float(32.75)
arich[0].feb[3].t2 : float(32.625)
arich[0].feb[4].t1 : float(32.75)
arich[0].feb[4].t2 : float(32.9375)
arich[0].feb[5].t1 : float(31.8125)
arich[0].feb[5].t2 : float(31.5)
arich[1].temp : float(31.4375)
arich[1].feb[0].t1 : float(31.8125)
arich[1].feb[0].t2 : float(32)
