        posR_cm     posPhi_deg      measT_Cel
          65.81        6.21774         48.625
          57.35        6.20839           46.5
         91.305        5.28359         45.125
          74.37        5.29417        48.0625
         82.868        5.28835        47.3125
         82.868        5.39307        47.9375
          74.37        5.41052         48.375
         91.305        5.37879        45.4375
         91.305        5.47399         45.875
         82.868        5.49779         47.875
          74.37        5.52688          48.25
         82.868        5.60251         48.375
         82.868        5.70723          49.25
         82.868        5.81195        49.5625
         82.868        5.91667         50.125
          74.37         5.9923        49.8125
         82.868        6.02139        49.9375
         91.305        6.04519             49
         91.305        6.14039        50.0625
          74.37        6.10865             49
         82.868        6.12611        50.0625
         82.868        6.23083         48.375
          74.37        6.22501        48.4375
         91.305        6.23559           48.5
        108.185        5.35682          35.25
         99.794        5.36689        37.9375
        108.185        5.27626         36.125
         99.794        5.27962        37.5625
         99.794        5.45415        38.0625
        108.185        5.43737          35.75
        108.185        5.51793        41.6875
         99.794        5.54142        45.3125
         91.305        5.56919          46.75
         99.794        5.62869         46.875
        108.185        5.59848        44.3125
         91.305        5.66439         48.125
         91.305        5.85479        48.9375
        108.185        5.92069         44.125
         99.794        5.89049        47.9375
         91.305        5.94999         48.625
         99.794        5.97775          47.75
        108.185        6.00125         45.125
        108.185         6.0818        45.8125
         99.794        6.06502           48.5
         99.794        6.23955         47.875
        108.185        6.24291        46.5625
         99.794        6.15229        49.1875
        108.185        6.16235             47
        108.185        5.84014             45
         99.794        5.80322        47.5625
         91.305        5.75959        47.8125
        108.185        5.75959        45.1875
         99.794        5.71595         47.125
        108.185        5.67903        44.3125
